Tipo de producto,Proveedor,SKU,Descripcion,Estado,Unidad de Empaque,Color,Alto,Ancho,Largo,Tamaño,Costo Promedio,Fecha de Ingreso
Nacional,COLPLAST,728623003,PLATO LLANO SURTIDO REF 003,Activo,280,INDEFINIDO,0.0,0.0,0.0,PEQUEÃ‘O,1131.301,2013-04-18
Nacional,COLPLAST,728623004,PLATO HONDO SURTIDO REF 004,Activo,280,INDEFINIDO,0.0,0.0,0.0,PEQUEÃ‘O,1037.3227,2013-04-18
Nacional,COLPLAST,728623005,PLATO SUPER HONDO SURTIDO REF 005,Activo,280,INDEFINIDO,0.0,0.0,0.0,PEQUEÃ‘O,1261.5253,2013-04-18
Nacional,COLPLAST,728623009,POCILLO CHOCOLATERO SURTIDO REF 009,Activo,280,INDEFINIDO,0.0,0.0,0.0,PEQUEÃ‘O,823.4543,2013-04-18
Nacional,COLPLAST,728623018,VASO ARENADO 10 ONZAS REF 018,Activo,480,INDEFINIDO,0.0,0.0,0.0,PEQUEÃ‘O,542.7671,2015-06-23
Nacional,COLPLAST,728623026,JARRA MEDIDORA 1 LITRO,Activo,150,INDEFINIDO,0.0,0.0,0.0,PEQUEÃ‘O,2416.5399,2021-03-05
Nacional,COLPLAST,728623027,PLATO 3 DIVISIONES REF 027,Activo,84,INDEFINIDO,0.0,0.0,0.0,PEQUEÃ‘O,2146.2226,2016-06-16
Nacional,COLPLAST,728623034,JARRA 4 LITROS CON TAPA,Activo,24,INDEFINIDO,0.0,0.0,0.0,PEQUEÃ‘O,7810.4649,2021-03-05
Nacional,COLPLAST,728623040,BALDE 12 LT CON ESCURRIDOR REF 040,Activo,20,INDEFINIDO,0.0,0.0,0.0,MEDIANO,13895.9512,2012-11-08
Nacional,COLPLAST,728623069,SILLA OASIS ESPALDAR LINEAL AZUL OSCURO REF 069,Activo,25,INDEFINIDO,0.0,0.0,0.0,MEDIANO,16952.7545,2023-06-15
Nacional,COLPLAST,728623071,SILLA OASIS ESPALDAR LINEAL WENGUE REF 071,Activo,25,INDEFINIDO,0.0,0.0,0.0,MEDIANO,17371.7637,2023-06-15
Nacional,COLPLAST,728623072,SILLA OASIS ESPALDAR LINEAL BLANCO REF 072,Activo,25,INDEFINIDO,0.0,0.0,0.0,MEDIANO,17056.9535,2023-06-15
Nacional,COLPLAST,728623077,MULTIESTANTE REF 077,Activo,28,INDEFINIDO,0.0,0.0,0.0,MEDIANO,6116.0972,2014-02-28
