SKU,Descripcion,Mes_01,Mes_02,Mes_03,Mes_04,Mes_05,Mes_06,Mes_07,Mes_08,Mes_09,Mes_10,Mes_11,Mes_12
728623003,PLATO LLANO SURTIDO REF 003,380,479,629,197,326,369,214,549,381,161,217,304
728623004,PLATO HONDO SURTIDO REF 004,952,808,784,799,396,286,408,464,246,325,279,252
728623005,PLATO SUPER HONDO SURTIDO REF 005,31,38,5,19,6,49,299,150,40,92,145,38
728623009,POCILLO CHOCOLATERO SURTIDO REF 009,1206,1148,1762,1457,1358,836,1165,1322,747,443,655,382
728623018,VASO ARENADO 10 ONZAS REF 018,1797,1610,2408,4309,1437,1017,2330,1366,1130,659,947,659
728623026,JARRA MEDIDORA 1 LITRO,25,11,90,85,60,39,109,71,95,49,16,5
728623027,PLATO 3 DIVISIONES REF 027,10,17,9,8,5,6,8,48,25,22,38,10
728623034,JARRA 4 LITROS CON TAPA,21,9,16,98,115,60,52,138,46,63,32,11
728623040,BALDE 12 LT CON ESCURRIDOR REF 040,87,53,75,113,147,106,114,124,103,84,75,64
728623069,SILLA OASIS ESPALDAR LINEAL AZUL OSCURO REF 069,82,104,72,85,268,189,159,136,93,31,8,172
728623071,SILLA OASIS ESPALDAR LINEAL WENGUE REF 071,117,15,8,8,54,74,15,129,42,91,54,25
728623072,SILLA OASIS ESPALDAR LINEAL BLANCO REF 072,161,129,44,99,524,90,108,92,64,168,55,115
728623077,MULTIESTANTE REF 077,304,280,294,294,218,113,265,160,161,153,114,57
728623086,BALDE 10 LITROS CON PICO - MANIJA PLASTICA REF 086,687,856,583,462,793,440,396,600,303,339,571,344
728623101,SILLA LIBERTY CON BRAZOS - ROJO REF 101,100,102,25,4,169,21,139,82,117,85,55,62
728623103,SILLA LIBERTY CON BRAZOS - BLANCO REF 103,120,75,93,18,17,60,4,28,106,69,29,109
728623111,BUTACO ESPLENDOR AZUL OSCURO REF 111,3,0,117,178,180,95,147,75,128,131,38,77
728623113,BUTACO ESPLENDOR BLANCO REF 113,1,0,0,0,12,7,13,11,16,8,31,46
728623115,BUTACO ESPLENDOR ROJO REF 115,1,0,7,9,31,0,24,0,10,10,27,26
728623142,MESA INFANTIL ROSADO REF 142,2,1,1,0,5,2,1,3,7,2,12,3
