SKU,Inventario Actual,Pedidos pendientes,Stock de seguridad,Costo actual
728623003,1224,0,525.75,1131.301
728623004,487,560,749.875,1037.3227
728623005,205,560,114.0,1261.5253
728623009,212,840,1560.125,823.4543
728623018,550,480,2458.625,542.7671
728623026,120,0,81.875,2416.5399
728623027,83,0,25.75,2146.2226
728623034,70,0,82.625,7810.4649
728623040,293,0,143.125,13895.9512
728623069,63,0,174.875,16952.7545
728623071,164,100,79.0,17371.7637
728623072,434,0,206.125,17056.9535
728623077,349,20,301.625,6116.0972
728623086,551,20,796.75,3531.3408
728623101,64,0,120.125,17798.5444
728623103,4,#N/D,91.0,17843.7283
728623111,77,75,146.125,8043.1447
728623113,89,#N/D,18.125,8045.5028
728623115,80,#N/D,18.125,8048.8386
728623142,15,10,4.875,31626.7811
728623163,20,50,28.625,10606.7364
728623164,49,50,8.375,10619.6388
728623182,107,#N/D,2.25,30264.1867
728623184,17,#N/D,1.75,30894.4359
728623185,24,#N/D,6.125,31165.6104
728623187,29,#N/D,80.875,22250.3613
728623188,47,#N/D,65.0,21834.6358
728623190,55,#N/D,79.125,21417.7483
728623192,42,#N/D,73.375,21300.3254
728623210,17,#N/D,23.875,5951.5207
728623213,15,20,59.25,30779.452
728623215,155,60,334.125,12015.3387
728623219,90,#N/D,164.25,11018.222
728623220,654,#N/D,694.25,4801.7583
728623233,120,#N/D,289.5,8030.6145
728623254,59,#N/D,111.875,16997.0347
728623262,166,#N/D,145.25,30566.6748
728623273,57,#N/D,4.25,27577.2816
728623277,72,#N/D,5.0,27584.1159
728623280,52,60,66.5,17834.8137
728623281,147,#N/D,99.625,17017.4889
728623283,64,60,61.5,17664.5849
728623331,120,#N/D,107.625,8250.8975
728623333,#N/D,#N/D,0.0,8250.8975
728623339,14,100,148.0,6101.1427
728623407,15,#N/D,56.375,43050.819
728623408,3,20,30.5,41047.3768
728623409,89,#N/D,52.25,36034.1138
728623421,10,#N/D,2.25,30771.8571
728623422,16,10,7.75,46274.2438
728623429,31,#N/D,51.375,28265.7842
728623453,75,#N/D,3.25,27614.0828
728623562,59,#N/D,4.375,30678.7416
728623575,2,#N/D,3.25,46272.8077
728623585,56,48,124.625,23917.8273
728623746,77,75,43.875,25080.3574
728623749,14,#N/D,13.25,23406.0853
728623763,81,64,2.875,13504.9382
728623772,45,#N/D,133.625,117012.248
728623777,9,20,28.5,82063.3684
728623782,14,#N/D,8.125,237463.407
728623792,2,#N/D,0.125,102865.265
728623802,14,#N/D,6.5,68008.98
728623803,27,#N/D,1.0,67018.59
728623804,29,#N/D,0.625,65731.8885
728623811,49,24,53.75,13356.9099
728623829,18,#N/D,3.0,295451.21
728623831,6,#N/D,1.125,308443.423
728623834,10,#N/D,0.125,353843.467
728623838,2,#N/D,0.25,191047.5
728623903,1,#N/D,0.0,15003.86
